occupation_code,occupation_title,employment,mean_annual_wage,complexity_score
11-0000,Management Occupations,10384,152210,0.8387669681728086
13-0000,Business and Financial Operations,12464,96767,0.7122680409730019
15-0000,Computer and Mathematical,5272,122325,0.8060964554664103
17-0000,Architecture and Engineering,2908,116413,0.8012563647736044
19-0000,"Life, Physical, and Social Science",1471,98386,0.7625899153374297
21-0000,Community and Social Service,2977,70620,0.6554950762101893
23-0000,Legal Occupations,1733,132046,0.8223855002697134
25-0000,Educational Instruction,10892,83319,0.7200463229056407
27-0000,"Arts, Design, Entertainment",2533,83388,0.6597712910236999
29-0000,Healthcare Practitioners,12535,121539,0.7739752717517991
