soc_code,occupation_title,task_complexity_index,avg_skill_level,avg_task_importance
00-0000,U.S.,1.0053950054011442,2.448859365249097,3.9898554512549644
11-0000,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-1000,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-1010,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-1011,U.S.,1.3681153200771543,3.365142857142857,3.950967741935484
11-1011,U.S.,1.1469494541044167,2.821142857142857,3.950967741935484
11-1011,U.S.,1.3010263861679712,3.365142857142857,3.757222222222222
11-1011,U.S.,1.0907059379370476,2.821142857142857,3.757222222222222
11-1020,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-1021,U.S.,1.036063819707086,2.724285714285714,3.6958823529411764
11-1030,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-1031,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-2000,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-2010,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-2011,U.S.,1.0077047212651566,2.6525714285714286,3.691904761904762
11-2020,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-2021,U.S.,0.9856884607339562,2.793142857142857,3.4295
11-2022,U.S.,1.0475809328910046,2.8400000000000003,3.584705882352941
11-2030,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-2032,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-2033,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-3000,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-3010,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-3012,U.S.,0.9547561965840778,2.5385714285714283,3.655
11-3013,U.S.,1.1432148217568896,2.832857142857143,3.921818181818182
11-3020,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-3021,U.S.,1.2181487989267346,3.082857142857143,3.84
11-3030,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-3031,U.S.,1.0704954838705154,2.664285714285714,3.904705882352941
11-3031,U.S.,1.1346678136810913,2.8240000000000003,3.904705882352941
11-3031,U.S.,1.0188361843807854,2.5357142857142856,3.904705882352941
11-3031,U.S.,1.1276502490499123,2.664285714285714,4.113181818181818
11-3031,U.S.,1.1952488001725827,2.8240000000000003,4.113181818181818
11-3031,U.S.,1.0732328107579596,2.5357142857142856,4.113181818181818
11-3031,U.S.,1.1095061584032477,2.664285714285714,4.047
11-3031,U.S.,1.1760170369606116,2.8240000000000003,4.047
11-3031,U.S.,1.0559643062551016,2.5357142857142856,4.047
11-3050,U.S.,1.1464253531940658,2.8880283533260633,3.8577014355949912
11-3051,U.S.,1.2447551414097089,3.2714285714285714,3.6976923076923076
11-3051,U.S.,1.2117066206246825,3.1845714285714286,3.6976923076923076
11-3051,U.S.,1.2272524708623758,3.2254285714285715,3.6976923076923076
11-3051,U.S.,1.1374561610977978,2.9894285714285713,3.6976923076923076
11-3051,U.S.,1.2107282104698627,3.182,3.6976923076923076
11-3051,U.S.,1.2409502130298538,3.2614285714285716,3.6976923076923076
11-3051,U.S.,1.312359321978147,3.2714285714285714,3.8985185185185185
11-3051,U.S.,1.2775158954382908,3.1845714285714286,3.8985185185185185
11-3051,U.S.,1.2939060598961836,3.2254285714285715,3.8985185185185185
