occupation_code,occupation_title,employment,mean_annual_wage,complexity_score
11-0000,Management Occupations,11328,140471,0.8831506691082968
13-0000,Business and Financial Operations,10554,79674,0.7504735969422218
15-0000,Computer and Mathematical,4288,94677,0.8094342961807118
17-0000,Architecture and Engineering,2819,98930,0.806157516657458
19-0000,"Life, Physical, and Social Science",1404,81450,0.7712651931905977
21-0000,Community and Social Service,2384,58029,0.6265579785648201
23-0000,Legal Occupations,1433,107022,0.8023304311937338
25-0000,Educational Instruction,7996,59872,0.6972061624896105
27-0000,"Arts, Design, Entertainment",2257,64831,0.6779093424776205
29-0000,Healthcare Practitioners,9016,99055,0.8084299483029213
