soc_code,occupation_title,job_complexity_index,job_price_index,annual_mean_wage,employment
00-0000,U.S.,1.7375735318829766,1.5134474976768884,114008,0.0
11-0000,U.S.,1.6108630517459748,1.0860613301473516,81813,0.2
11-1000,U.S.,0.7187468776528926,0.7100756670649144,53490,0.3
11-1010,U.S.,1.927439197716415,1.5008495951148282,113059,1.2
11-1011,U.S.,0.780042536203118,0.46524624983406343,35047,1.2
11-1011,U.S.,0.6539429446824238,0.46524624983406343,35047,1.2
11-1011,U.S.,0.7417912123638883,0.46524624983406343,35047,1.2
11-1011,U.S.,0.62187522761768,0.46524624983406343,35047,1.2
11-1020,U.S.,0.828723193070346,0.5549714589141113,41806,0.4
11-1021,U.S.,1.4545707857561867,1.2395990973051905,93379,0.4
11-1030,U.S.,0.4436333199091105,0.46548519846010883,35065,3.9
11-1031,U.S.,1.762631581253151,1.4617416699853976,110113,3.9
11-2000,U.S.,0.7161064105990527,0.5286074605071021,39820,0.5
11-2010,U.S.,1.6444350484392114,1.2055754679410593,90816,4.6
11-2011,U.S.,1.5740944464932338,1.4671976636134343,110524,4.6
11-2020,U.S.,1.3445828238952282,1.2598168060533652,94902,0.6
11-2021,U.S.,0.4018246762523675,0.5081109783618745,38276,0.8
11-2022,U.S.,1.4046066554903291,1.4962564715252886,112713,0.8
11-2030,U.S.,1.668854942634729,1.0188769414575867,76752,1.1
11-2032,U.S.,1.5771556037130054,1.1682463825833,88004,1.3
11-2033,U.S.,0.674991045743765,0.5676622859418559,42762,1.6
11-3000,U.S.,1.0437239428043772,0.7828089738484004,58969,0.3
11-3010,U.S.,1.8327411868288608,1.3500862870038497,101702,0.5
11-3012,U.S.,1.0540088966400443,0.908363201911589,68427,0.7
11-3013,U.S.,1.4071093771797,1.075693614761715,81032,0.7
11-3020,U.S.,2.2755922375763973,1.4559538032656312,109677,0.6
11-3021,U.S.,2.2086770060907397,1.3114297092791716,98790,0.6
11-3030,U.S.,0.7522225552373218,0.7057214921014204,53162,0.7
11-3031,U.S.,0.650512588105979,0.5024691358024691,37851,0.7
11-3031,U.S.,0.6895084633608041,0.5024691358024691,37851,0.7
11-3031,U.S.,0.6191205597255297,0.5024691358024691,37851,0.7
11-3031,U.S.,0.6852440697232675,0.5024691358024691,37851,0.7
11-3031,U.S.,0.7263219715972952,0.5024691358024691,37851,0.7
11-3031,U.S.,0.6521759912915817,0.5024691358024691,37851,0.7
11-3031,U.S.,0.6742183722371686,0.5024691358024691,37851,0.7
11-3031,U.S.,0.7146353234522441,0.5024691358024691,37851,0.7
11-3031,U.S.,0.6416823649978415,0.5024691358024691,37851,0.7
11-3050,U.S.,1.775950736961258,1.24566573742201,93836,0.6
11-3051,U.S.,1.0591185873868112,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0309987576430915,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0442261775554333,0.6921545201115094,52140,0.6
11-3051,U.S.,0.9678216401596685,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0301662626835735,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0558811069886853,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1166406187029445,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0869935664683859,0.6921545201115094,52140,0.6
11-3051,U.S.,1.100939383802405,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0203852221387693,0.6921545201115094,52140,0.6
11-3051,U.S.,1.086115857685126,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1132273067680447,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1350930016510765,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1049560346203404,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1191323052959825,0.6921545201115094,52140,0.6
11-3051,U.S.,1.037246993561154,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1040638217806147,0.6921545201115094,52140,0.6
11-3051,U.S.,1.131623285052143,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1620748981045816,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1312215558317613,0.6921545201115094,52140,0.6
11-3051,U.S.,1.145734805650884,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0619030269753917,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1303081345144739,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1585227040929083,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1047033723716202,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0753732566335439,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0891699887077049,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0094769768667478,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0745049308386667,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1013265498359863,0.6921545201115094,52140,0.6
11-3051,U.S.,1.136478334425674,0.6921545201115094,52140,0.6
11-3051,U.S.,1.106304586507298,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1204981587189027,0.6921545201115094,52140,0.6
11-3051,U.S.,1.0385129094406838,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1054112847597146,0.6921545201115094,52140,0.6
11-3051,U.S.,1.1330043831850716,0.6921545201115094,52140,0.6
11-3060,U.S.,1.458034429758993,1.3380724810832338,100797,0.8
11-3061,U.S.,1.6820817800425862,1.062060268153458,80005,0.8
11-3070,U.S.,1.033647629020061,0.8195008628700385,61733,0.8
11-3071,U.S.,1.2315909502812945,0.9643170051772202,72642,0.8
11-3071,U.S.,1.270752505481673,0.9643170051772202,72642,0.8
11-3071,U.S.,1.1413130022587754,0.9643170051772202,72642,0.8
11-3071,U.S.,1.177603941331248,0.9643170051772202,72642,0.8
11-3110,U.S.,1.3428047956032894,1.0572281959378733,79641,2.1
11-3111,U.S.,0.43606753488872946,0.5395725474578521,40646,2.1
11-3120,U.S.,0.5391093910236243,0.40712863401035443,30669,0.6
11-3121,U.S.,1.704600129489066,1.459723881587681,109961,0.6
11-3130,U.S.,1.5454029831306826,1.2444444444444445,93744,1.7
11-3131,U.S.,2.056921351363679,1.4585158635337847,109870,1.7
11-9000,U.S.,1.5547998807221688,1.13977167131289,85859,0.3
11-9010,U.S.,1.8234794991513703,1.5818266294968804,119159,4.2
11-9013,U.S.,0.4302995216345468,0.42793043939997344,32236,4.2
11-9020,U.S.,1.881037594974448,1.2774724545333864,96232,1.0
11-9021,U.S.,1.0611581574813778,0.9463560334528076,71289,1.0
11-9030,U.S.,1.25733530520688,1.0555953803265632,79518,0.4
11-9031,U.S.,0.7880428134756958,0.7418558343289526,55884,1.8
11-9032,U.S.,1.2922106159004845,0.9991902296561794,75269,0.7
11-9033,U.S.,1.0033942699723055,0.8094782954998009,60978,0.3
11-9039,U.S.,0.9038320987962768,0.759949555290057,57247,1.9
11-9040,U.S.,1.1119344315282222,0.9585291384574539,72206,0.8
11-9041,U.S.,0.6109039666237158,0.6062657639718572,45670,0.8
11-9041,U.S.,0.5886776095492663,0.6062657639718572,45670,0.8
11-9041,U.S.,0.6478857453169554,0.6062657639718572,45670,0.8
11-9041,U.S.,0.6243138899917301,0.6062657639718572,45670,0.8
