state,occupation_code,soc_code,occupation_title,employment,major_group,major_group_name,is_major_group,uber_category,annual_mean_wage,avg_task_importance,avg_skill_level,complexity_raw,job_complexity_index,task_complexity_raw,task_complexity_index,job_price_index
AL,00-0000,00-0000,Alabama,0.0,0,,True,Other,34528,3.968578626321074,2.524058686105598,345864.3985973174,0.53240490560059,10.016925353258728,1.0307424302507642,0.4583565644497544
AL,11-0000,11-0000,Alabama,0.9,11,Management,True,Management & Business,40214,3.8545160986904383,2.8906486486486487,448066.4691498601,0.6897292325489184,11.142051751873977,1.1465180278068237,0.5338377804327625
AL,11-1011,11-1011,Alabama,17.6,11,Management,False,Management & Business,55019,3.950967741935484,3.365142857142857,731509.014003318,1.1260453204374354,13.295570875576038,1.3681153200771543,0.7303730253551042
AL,11-1011,11-1011,Alabama,17.6,11,Management,False,Management & Business,55019,3.950967741935484,2.821142857142857,613255.2219620277,0.9440118436066598,11.146244423963134,1.1469494541044167,0.7303730253551042
AL,11-1011,11-1011,Alabama,17.6,11,Management,False,Management & Business,55019,3.757222222222222,3.365142857142857,695637.6520104762,1.070826890402377,12.643589523809524,1.3010263861679712,0.7303730253551042
AL,11-1011,11-1011,Alabama,17.6,11,Management,False,Management & Business,55019,3.757222222222222,2.821142857142857,583182.7284726984,0.8977198773843666,10.599660634920635,1.0907059379370476,0.7303730253551042
AL,11-1021,11-1021,Alabama,1.6,11,Management,False,Management & Business,60079,3.6958823529411764,2.724285714285714,604913.7922680672,0.9311714989317007,10.068639495798319,1.036063819707086,0.7975441391212
AL,11-1031,11-1031,Alabama,8.7,11,Management,False,Management & Business,38335,3.8545160986904383,2.8906486486486487,427130.55390808894,0.6575016195793204,11.142051751873977,1.1465180278068237,0.5088941988583565
AL,11-2011,11-2011,Alabama,35.6,11,Management,False,Management & Business,44767,3.691904761904762,2.6525714285714286,438405.07040598645,0.6748569990751561,9.793041088435375,1.0077047212651566,0.5942785078985796
AL,11-2021,11-2021,Alabama,7.5,11,Management,False,Management & Business,88428,3.4295,2.793142857142857,847059.1894217143,1.3039169964042605,9.579083428571428,0.9856884607339562,1.1738749502190362
AL,11-2022,11-2022,Alabama,6.4,11,Management,False,Management & Business,78298,3.584705882352941,2.8400000000000003,797117.8553411765,1.227040014082431,10.180564705882354,1.0475809328910046,1.0393999734501527
AL,11-2032,11-2032,Alabama,19.7,11,Management,False,Management & Business,116624,3.8545160986904383,2.8906486486486487,1299430.6435105507,2.0002730893913827,11.142051751873977,1.1465180278068237,1.5481746979954865
AL,11-2033,11-2033,Alabama,9.9,11,Management,False,Management & Business,75957,3.8545160986904383,2.8906486486486487,846316.8249170916,1.302774240730049,11.142051751873977,1.1465180278068237,1.0083233771405815
AL,11-3012,11-3012,Alabama,5.8,11,Management,False,Management & Business,54916,3.655,2.5385714285714283,509536.92922857136,0.7843535264287134,9.27847857142857,0.9547561965840778,0.7290057082171778
AL,11-3013,11-3013,Alabama,7.7,11,Management,False,Management & Business,79060,3.921818181818182,2.832857142857143,878352.6983376624,1.3520885275820167,11.109950649350651,1.1432148217568896,1.0495154652860745
AL,11-3021,11-3021,Alabama,3.1,11,Management,False,Management & Business,34320,3.84,3.082857142857143,406286.0434285714,0.6254147101456066,11.83817142857143,1.2181487989267346,0.4555953803265631
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,3.904705882352941,2.664285714285714,1054588.0687142855,1.6233757028720461,10.403252100840335,1.0704954838705154,1.3456922872693482
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,3.904705882352941,2.8240000000000003,1117806.80656,1.7206912007707569,11.026889411764706,1.1346678136810913,1.3456922872693482
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,3.904705882352941,2.5357142857142856,1003696.4192857142,1.5450358566208484,9.901218487394956,1.0188361843807854,1.3456922872693482
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,4.113181818181818,2.664285714285714,1110893.5219707792,1.710049265249086,10.958691558441558,1.1276502490499123,1.3456922872693482
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,4.113181818181818,2.8240000000000003,1177487.5679527274,1.8125605295144203,11.615625454545455,1.1952488001725827,1.3456922872693482
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,4.113181818181818,2.5357142857142856,1057284.719301948,1.6275267805989961,10.429853896103896,1.0732328107579596,1.3456922872693482
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,4.047,2.664285714285714,1093019.0500071426,1.6825342720984318,10.782364285714284,1.1095061584032477,1.3456922872693482
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,4.047,2.8240000000000003,1158541.586088,1.7833961121094803,11.428728,1.1760170369606116,1.3456922872693482
AL,11-3031,11-3031,Alabama,3.5,11,Management,False,Management & Business,101371,4.047,2.5357142857142856,1040272.822392857,1.6013395887263897,10.262035714285712,1.0559643062551016,1.3456922872693482
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.6976923076923076,3.2714285714285714,829315.948032967,1.276604012486471,12.096736263736263,1.2447551414097089,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.6976923076923076,3.1845714285714286,807297.4285393406,1.2427098972204547,11.775565274725274,1.2117066206246825,0.9100889419885836
AL,11-3051,11-3051,Alabama,2.3,11,Management,False,Management & Business,68557,3.6976923076923076,3.2254285714285715,817654.8242221978,1.2586535106515084,11.926642417582418,1.2272524708623758,0.9100889419885836
